PERMIT_TYPE,APP_YR,APP_NUM,ISSUEDATE,STATUSDATE,STATUS,ADDRESS,Lon,Lat
BR11,1,769,03/23/2001,07/27/2001,C.O. ISSUED,426 HALLS MILL DR,35.768767376,-78.85017536
BR11,1,842,03/23/2001,11/30/2001,C.O. ISSUED,314 COUNCIL GAP CT,35.796688814,-78.84031266
BR11,1,579,03/26/2001,10/29/2001,C.O. ISSUED,111 PARMALEE CT,35.806315994,-78.85930451
BR11,1,798,03/26/2001,09/18/2001,C.O. ISSUED,205 MINTAWOOD CT,35.82073145,-78.90398508
BR11,1,799,03/26/2001,09/10/2001,C.O. ISSUED,203 MINTAWOOD CT,35.820650137,-78.904195
BR11,1,884,03/27/2001,08/06/2002,C.O. ISSUED,100 FRINGE TREE CT,35.792768043,-78.86376028
BR11,1,894,03/27/2001,10/10/2001,C.O. ISSUED,105 TAVERNELLE PL,35.795006041,-78.88377898
BR11,1,843,03/28/2001,10/18/2001,C.O. ISSUED,108 COUNCIL GAP CT,35.796696088,-78.8471082
BR11,1,861,03/28/2001,08/29/2001,C.O. ISSUED,105 GRAHAMWOOD CT,35.820429418,-78.90501861
BR11,1,876,03/28/2001,02/06/2002,C.O. ISSUED,206 CAPISTRANE DR,35.784202347,-78.87429477
BR11,1,877,03/28/2001,02/06/2002,C.O. ISSUED,301 CONNEMARA DR,35.793679434,-78.86699709
BR11,1,918,03/28/2001,10/10/2001,C.O. ISSUED,110 BILLINGRATH TURN LN,35.770040784,-78.85677343
BR11,0,5056,03/29/2001,03/24/2003,C.O. ISSUED,105 MORRIS BRANCH CT,35.818713556,-78.91009433
BR11,1,827,03/29/2001,10/01/2001,C.O. ISSUED,130 HAMILTON HEDGE PL,35.82133149,-78.86204329
BR11,1,374,03/30/2001,07/20/2001,C.O. ISSUED,413 HALLS MILL DR,35.768620264,-78.84841496
BR11,1,890,03/30/2001,08/06/2002,C.O. ISSUED,612 SHERWOOD FOREST PL,35.767681579,-78.84852997
BR11,1,956,03/30/2001,09/13/2001,C.O. ISSUED,227 ROSENBERRY HILLS DR,35.809831569,-78.80469145
BR11,1,957,03/30/2001,10/30/2001,C.O. ISSUED,231 ROSENBERRY HILLS DR,35.809827553,-78.80533589
BR11,1,958,03/30/2001,01/28/2002,C.O. ISSUED,404 PEACHTREE POINT CT,35.810674848,-78.80672896
BR11,1,994,03/30/2001,09/25/2001,C.O. ISSUED,406 PEACHTREE POINT CT,35.810444188,-78.8067782
BR11,1,691,04/02/2001,09/10/2001,C.O. ISSUED,208 HIGHFIELD AVE,35.789020159,-78.87259785
BR11,1,929,04/02/2001,02/22/2002,C.O. ISSUED,102 DARBY GALE DR,35.708335192,-78.79881034
BR11,1,982,04/02/2001,02/18/2002,C.O. ISSUED,501 DEVONHALL LN,35.712356319,-78.80079852
BR11,1,878,04/03/2001,11/28/2001,C.O. ISSUED,502 BRIARDALE AVE,35.796920604,-78.87948098
BR11,1,932,04/03/2001,12/18/2001,C.O. ISSUED,506 DEVONHALL LN,35.711986468,-78.79951919
BR11,1,904,04/04/2001,10/23/2001,C.O. ISSUED,112 HAMILTON HEDGE PL,35.822937897,-78.86195556
BR11,1,905,04/04/2001,11/08/2001,C.O. ISSUED,114 HAMILTON HEDGE PL,35.822759086,-78.86196471
BR11,1,1058,04/05/2001,02/06/2002,C.O. ISSUED,304 CAPISTRANE DR,35.785912478,-78.87407441
BR11,1,844,04/06/2001,11/09/2001,C.O. ISSUED,233 ROSENBERRY HILLS DR,35.809870703,-78.80571643
BR11,1,995,04/06/2001,10/17/2001,C.O. ISSUED,217 ROSENBERRY HILLS DR,35.810479976,-78.8039038
BR11,1,1084,04/06/2001,11/05/2002,C.O. ISSUED,231 DEVONBROOK LN,35.721997744,-78.80383784
BR11,0,4672,04/09/2001,04/03/2002,C.O. ISSUED,108 MORGANFORD PL,35.694427344,-78.80035203
BR11,1,961,04/09/2001,02/06/2002,C.O. ISSUED,315 COUNCIL GAP CT,35.797316114,-78.84029638
BR11,1,993,04/09/2001,04/05/2002,C.O. ISSUED,101 WALFORD WAY,35.815436198,-78.90604785
BR11,1,1069,04/09/2001,04/03/2002,C.O. ISSUED,102 POPLIN CT,35.818225468,-78.90635093
BR11,1,891,04/11/2001,07/27/2001,C.O. ISSUED,617 SHERWOOD FOREST PL,35.76856621,-78.84785766
BR11,1,1090,04/11/2001,07/23/2001,C.O. ISSUED,620 SHERWOOD FOREST PL,35.768094401,-78.84767187
BR11,1,151,04/12/2001,02/05/2002,C.O. ISSUED,129 WHEATSBURY DR,35.781978681,-78.84552814
BR11,1,1121,04/12/2001,09/28/2001,C.O. ISSUED,614 CANON GATE DR,35.706856463,-78.79981038
BR11,1,974,04/16/2001,11/01/2001,C.O. ISSUED,120 HAMILTON HEDGE PL,35.822223376,-78.86199307
BR11,1,975,04/16/2001,08/31/2001,C.O. ISSUED,108 HAMILTON HEDGE PL,35.823297677,-78.86193369
BR11,1,1088,04/16/2001,09/06/2001,C.O. ISSUED,405 COMMONS WALK CIR,35.817886181,-78.85817333
BR11,1,1014,04/17/2001,10/12/2001,C.O. ISSUED,105 DRAKEFORD DR,35.80609829,-78.79057578
BR11,1,1184,04/17/2001,10/17/2001,C.O. ISSUED,215 ROSENBERRY HILLS DR,35.81068181,-78.80386525
BR11,1,1114,04/18/2001,11/09/2001,C.O. ISSUED,608 CANON GATE DR,35.706860104,-78.80071037
BR11,1,892,04/19/2001,08/02/2001,C.O. ISSUED,525 SHERWOOD FOREST PL,35.76881174,-78.85048318
BR11,1,1092,04/19/2001,09/05/2001,C.O. ISSUED,615 SHERWOOD FOREST PL,35.768358324,-78.84825973
BR11,1,1094,04/19/2001,02/19/2002,C.O. ISSUED,411 HALLS MILL DR,35.768713714,-78.84818298
BR11,1,1096,04/19/2001,08/06/2001,C.O. ISSUED,523 SHERWOOD FOREST PL,35.768949051,-78.85073508
BR11,1,1097,04/19/2001,08/06/2002,C.O. ISSUED,522 SHERWOOD FOREST PL,35.768661243,-78.85124081
